h0,h1,h2,h3,h4,h5,h6,Final Score
8,2,4,1,6,5,8,42172.0
8,2,4,1,6,5,6,41072.0
8,2,4,1,6,0,2,33355.0
8,2,4,1,6,0,6,39343.0
8,2,4,1,6,0,11,48981.0
8,2,4,1,6,8,7,38760.0
8,2,4,1,6,8,9,43846.0
8,2,4,1,6,8,8,43846.0
8,2,4,2,3,10,5,41559.0
8,2,4,2,3,10,10,41567.0
8,2,4,2,3,10,0,39497.0
8,2,4,2,3,6,11,46049.0
8,2,4,2,3,6,5,39551.0
8,2,4,2,3,6,2,37684.0
8,2,4,2,3,5,2,39119.0
8,2,4,2,3,5,7,36255.0
8,2,4,2,3,5,9,41279.0
8,2,4,2,10,2,5,43916.0
8,2,4,2,10,2,10,45002.0
8,2,4,2,10,2,8,45002.0
8,2,4,2,10,1,4,18334.0
8,2,4,2,10,1,9,29694.0
8,2,4,2,10,1,1,29694.0
8,2,4,2,10,11,0,42848.0
8,2,4,2,10,11,6,51570.0
8,2,4,2,10,11,5,49763.0
8,2,4,2,5,8,5,43777.0
8,2,4,2,5,8,8,44395.0
8,2,4,2,5,8,1,29507.0
8,2,4,2,5,10,0,40053.0
8,2,4,2,5,10,4,24094.0
8,2,4,2,5,10,9,44395.0
8,2,4,2,5,7,1,26727.0
8,2,4,2,5,7,4,20699.0
8,2,4,2,5,7,0,34850.0
8,2,4,7,3,0,1,33179.0
8,2,4,7,3,0,9,41773.0
8,2,4,7,3,0,3,40095.0
8,2,4,7,3,4,9,23043.0
8,2,4,7,3,4,8,23043.0
8,2,4,7,3,4,1,20301.0
8,2,4,7,3,6,8,40348.0
8,2,4,7,3,6,11,52397.0
8,2,4,7,3,6,7,35791.0
8,2,4,7,11,5,1,44213.0
8,2,4,7,11,5,10,54839.0
8,2,4,7,11,5,8,54839.0
8,2,4,7,11,1,3,34567.0
8,2,4,7,11,1,11,50108.0
8,2,4,7,11,1,4,24440.0
8,2,4,7,11,0,10,45260.0
8,2,4,7,11,0,5,43442.0
8,2,4,7,11,0,6,43151.0
8,2,4,7,4,3,6,25311.0
8,2,4,7,4,3,9,26265.0
8,2,4,7,4,3,11,34687.0
8,2,4,7,4,7,3,19832.0
8,2,4,7,4,7,8,20046.0
8,2,4,7,4,7,1,17918.0
8,2,4,7,4,10,5,26674.0
8,2,4,7,4,10,3,26303.0
8,2,4,7,4,10,9,26674.0
8,9,0,0,7,9,6,112379.0
8,9,0,0,7,9,4,45667.0
8,9,0,0,7,9,0,113675.0
8,9,0,0,7,7,7,81155.0
8,9,0,0,7,7,1,51871.0
8,9,0,0,7,7,6,85808.0
8,9,0,0,7,1,7,48754.0
8,9,0,0,7,1,9,62661.0
8,9,0,0,7,1,6,59829.0
8,9,0,0,11,10,2,103913.0
8,9,0,0,11,10,6,136109.0
8,9,0,0,11,10,3,134104.0
8,9,0,0,11,5,1,76848.0
8,9,0,0,11,5,3,129787.0
8,9,0,0,11,5,0,130017.0
8,9,0,0,11,3,6,128995.0
8,9,0,0,11,3,4,59073.0
8,9,0,0,11,3,7,110903.0
8,9,0,0,10,0,1,73988.0
8,9,0,0,10,0,5,133752.0
8,9,0,0,10,0,11,145367.0
8,9,0,0,10,3,3,130394.0
8,9,0,0,10,3,9,132306.0
8,9,0,0,10,3,6,124840.0
8,9,0,0,10,11,1,76573.0
8,9,0,0,10,11,5,137963.0
8,9,0,0,10,11,3,135662.0
8,9,0,1,6,0,4,29785.0
8,9,0,1,6,0,10,65918.0
8,9,0,1,6,0,6,61429.0
8,9,0,1,6,4,2,25993.0
8,9,0,1,6,4,6,36104.0
8,9,0,1,6,4,0,34326.0
8,9,0,1,6,8,11,75768.0
8,9,0,1,6,8,5,66280.0
8,9,0,1,6,8,10,69245.0
8,9,0,1,0,2,4,31416.0
8,9,0,1,0,2,8,69923.0
8,9,0,1,0,2,2,69923.0
8,9,0,1,0,6,10,67357.0
8,9,0,1,0,6,3,66810.0
8,9,0,1,0,6,2,64497.0
8,9,0,1,0,4,7,27143.0
8,9,0,1,0,4,10,31176.0
8,9,0,1,0,4,0,30931.0
8,9,0,1,1,1,2,72080.0
8,9,0,1,1,1,11,81465.0
8,9,0,1,1,1,3,72049.0
8,9,0,1,1,5,0,69895.0
8,9,0,1,1,5,7,60565.0
8,9,0,1,1,5,9,73223.0
8,9,0,1,1,3,2,70167.0
8,9,0,1,1,3,6,70362.0
8,9,0,1,1,3,5,71375.0
8,9,0,3,4,5,0,63340.0
8,9,0,3,4,5,4,33875.0
8,9,0,3,4,5,8,64253.0
8,9,0,3,4,7,5,55323.0
8,9,0,3,4,7,1,34359.0
8,9,0,3,4,7,10,55323.0
8,9,0,3,4,11,11,80853.0
8,9,0,3,4,11,7,64000.0
8,9,0,3,4,11,0,65320.0
8,9,0,3,10,8,8,133402.0
8,9,0,3,10,8,11,139494.0
8,9,0,3,10,8,1,74246.0
8,9,0,3,10,3,2,103708.0
8,9,0,3,10,3,9,129958.0
8,9,0,3,10,3,6,120651.0
8,9,0,3,10,4,7,46714.0
8,9,0,3,10,4,6,51639.0
8,9,0,3,10,4,9,56600.0
8,9,0,3,11,3,0,130229.0
8,9,0,3,11,3,10,132381.0
8,9,0,3,11,3,3,129189.0
8,9,0,3,11,7,7,91798.0
8,9,0,3,11,7,3,103873.0
8,9,0,3,11,7,9,110116.0
8,9,0,3,11,8,5,137360.0
8,9,0,3,11,8,1,77282.0
8,9,0,3,11,8,7,115962.0
8,9,1,3,11,9,8,80667.0
8,9,1,3,11,9,1,78177.0
8,9,1,3,11,9,7,67066.0
8,9,1,3,11,5,10,79198.0
8,9,1,3,11,5,2,74438.0
8,9,1,3,11,5,9,79198.0
8,9,1,3,11,2,2,73817.0
8,9,1,3,11,2,10,73817.0
8,9,1,3,11,2,8,73817.0
8,9,1,3,2,4,1,34308.0
8,9,1,3,2,4,2,27582.0
8,9,1,3,2,4,6,31607.0
8,9,1,3,2,1,7,57943.0
8,9,1,3,2,1,4,32319.0
8,9,1,3,2,1,2,68844.0
8,9,1,3,2,2,4,34000.0
8,9,1,3,2,2,2,69870.0
8,9,1,3,2,2,5,69138.0
8,9,1,3,3,1,10,69962.0
8,9,1,3,3,1,0,69664.0
8,9,1,3,3,1,3,69422.0
8,9,1,3,3,5,5,68600.0
8,9,1,3,3,5,11,76799.0
8,9,1,3,3,5,1,68870.0
8,9,1,3,3,11,5,76646.0
8,9,1,3,3,11,9,78226.0
8,9,1,3,3,11,11,84727.0
8,9,1,0,5,10,11,83871.0
8,9,1,0,5,10,4,27938.0
8,9,1,0,5,10,2,68973.0
8,9,1,0,5,9,8,70263.0
8,9,1,0,5,9,4,33882.0
8,9,1,0,5,9,11,79277.0
8,9,1,0,5,6,3,65299.0
8,9,1,0,5,6,11,76895.0
8,9,1,0,5,6,4,26096.0
8,9,1,0,10,2,4,38639.0
8,9,1,0,10,2,10,69830.0
8,9,1,0,10,2,5,68612.0
8,9,1,0,10,10,7,55963.0
8,9,1,0,10,10,8,71120.0
8,9,1,0,10,10,3,69990.0
8,9,1,0,10,8,0,71120.0
8,9,1,0,10,8,1,70908.0
8,9,1,0,10,8,3,70095.0
8,9,1,0,9,4,6,28562.0
8,9,1,0,9,4,1,28517.0
8,9,1,0,9,4,4,15468.0
8,9,1,0,9,5,11,76449.0
